-able	 V. -ble.
farmacopea	Del gr. φαρμακοποιΐα pharmakopoiḯa. 1. f. Libro en que se describen las sustancias medicinales que se usan más comúnmente, y el modo de prepararlas y combinarlas. 2. f. Repertorio que publica oficialmente cada Estado como norma legal para la preparación, experimentación, prescripción, etc., de los medicamentos.
farmacopola	Del lat. pharmacopōla, y este del gr. φαρμακοπώλης pharmakopṓlēs. 1. m. p. us. farmacéutico (‖ persona autorizada para ejercer la farmacia).
farmacopsicología	1. f. Estudio de las modificaciones producidas en el psiquismo normal por los psicofármacos.
farmacopsiquiatría	1. f. Estudio de los efectos terapéuticos de los fármacos aplicables en psiquiatría.
farmacopólico	ca De farmacopola e ‒́ico. 1. adj. p. us. Perteneciente o relativo a la farmacia o a los medicamentos.
farmacoterapia	De fármaco y -terapia. 1. f. Tratamiento de las enfermedades mediante medicamentos.
farmacéutico	ca Del lat. tardío pharmaceutĭcus, y este del gr. φαρμακευτικός pharmakeutikós. 1. adj. Perteneciente o relativo a la farmacia. 2. m. y f. Persona legalmente autorizada para ejercer la farmacia. forma farmacéutica
farmacólogo	ga 1. m. y f. Especialista en farmacología.
farnaca	Del ár. hisp. ẖárnaq, y este del ár. clás. ẖirniq. 1. f. Ar. lebrato.
faro	Del lat. pharus, y este del gr. φάρος pháros, de Φάρος Pháros 'Faro', isla cercana al puerto de Alejandría, en la que se construyó el más famoso faro de la Antigüedad. 1. m. Torre alta en las costas, con luz en su parte superior, para que durante la noche sirva de señal a los navegantes. 2. m. Farol con potente reverbero. 3. m. Cada uno de los focos delanteros de los vehículos automotores. 4. m. Aquello que da luz en un asunto, lo que sirve de guía a la inteligencia o a la conducta. faro piloto 1. m. faro que llevan los vehículos automóviles para indicar su posición.
farol	De faro. 1. m. Caja de vidrio u otra materia transparente, dentro de la cual se pone una luz. 2. m. Cazoleta formada de aros de hierro, en que se ponen las teas para las luminarias o para alumbrarse. 3. m. Farola de una sola luz. 4. m. Hecho o dicho jactancioso que carece de fundamento. Marcarse, tirarse un farol. 5. m. En el juego, envite falso hecho para desorientar o atemorizar. 6. m. Funda o cubierta de papel para paquetes de picadura de tabaco. 7. m. coloq. Fachenda, papelón. 8. m. Taurom. Lance de capa a la verónica, en que el torero, después de echar la capa al toro, la pasa en redondo sobre su propia cabeza y la coloca en sus hombros. 9. m. coloq. Cuba, El Salv., Méx. y Ur. Ojo de una persona. En Ur., u. m. en pl. 10. m. coloq. Ur. Cantidad de bebida alcohólica que sobrepasa la medida normal. farol de situación 1. m. Mar. Cada uno de los faroles que se encienden de noche en los buques que navegan, y que por los distintos colores de sus cristales sirven de guía para evitar los abordajes. medio farol 1. m. Taurom. Suerte ejecutada de frente con la capa, en la que el diestro deja este engaño a la espalda tras pasarlo por encima de la cabeza, generalmente para iniciar otra suerte, como el lance de espalda, el galleo, etc. adelante con los faroles 1. expr. coloq. U. para manifestarse alguien resuelto, o para animar a otra persona a continuar o perseverar a todo trance en lo ya comenzado, a pesar de las dificultades que se presentan. apagarle a alguien un farol 1. loc. verb. Cuba, El Salv. y Méx. Herirle o dañarle un ojo. torre de farol
farola	1. f. Farol grande, generalmente compuesto de varios brazos, con sendas luces, propio para iluminar plazas y paseos públicos. 2. f. Farol grande en la torre de los puertos.
farolazo	1. m. Golpe dado con un farol. 2. m. C. Rica, El Salv., Guat., Hond., Méx. y Nic. Trago de bebida alcohólica.
farolear	 De farol 'hecho o dicho jactancioso' y -ear. 1. intr. coloq. Fachendear o papelonear.
faroleo	 1. m. coloq. Acción y efecto de farolear.
farolero	ra De farol y -ero. 1. adj. coloq. Vano, ostentoso, amigo de llamar la atención y de hacer lo que no le toca. U. t. c. s. 2. m. Fabricante o vendedor de faroles. 3. m. Encargado de cuidar de los faroles del alumbrado. meterse alguien a farolero 1. loc. verb. coloq. meterse en camisa de once varas.
farolería	1. f. Establecimiento donde se hacen o venden faroles. 2. f. coloq. Acción propia de persona farolera.
farolillo	1. m. Farol de papel, celofán o plástico de colores, que sirve para adornar en verbenas y fiestas. 2. m. Planta herbácea, trepadora, de la familia de las sapindáceas, con tallos largos y ramosos, hojas lanceoladas con bordes dentados y pecioladas de tres en tres, flores axilares de color blanco amarillento y fruto globoso de un centímetro de diámetro con tres semillas verdosas casi redondas. Se cultiva en los jardines. Se ha usado en medicina como diurético, y en la India, de donde procede, ensartan los frutos para hacer pulseras y collares. 3. m. Planta perenne de la familia de las campanuláceas, con tallos herbáceos de 60 a 80 cm de altura, estriados y ramosos, hojas sentadas, oblongas, ásperas y vellosas, y flores grandes, campanudas, blancas, rojizas, moradas o jaspeadas, de pedúnculos largos y en ramilletes piramidales, que se cultiva en los jardines y florece todo el verano. farolillo rojo 1. m. coloq. Persona, equipo o grupo que ocupa el último puesto, especialmente en una competición.
farolón	na Del aum. coloq. de farol. 1. adj. coloq. farolero. U. t. c. s.
farota	Quizá del ár. hisp. *ḥar[r]úǧ 'colérico', y este de la raíz del ár. clás. {ḥrǧ} 'enojarse'. 1. f. coloq. Mujer descarada y sin juicio.
farotón	na De farota. 1. m. y f. coloq. Persona descarada y sin juicio. U. t. c. adj.
farpa	Der. del ant. farpar 'arañar', 'hacer pedazos'; cf. arpar. 1. f. Cada una de las puntas agudas que quedan al hacer una o varias escotaduras en el borde de algunas cosas, como las banderas, los estandartes, los planos de veleta, etc.
farpado	da 1. adj. Que remata y está cortado en farpas.
farra^1	Quizá relacionado con el lat. fario, -ōnis. 1. f. Pez de agua dulce, parecido al salmón, que vive principalmente en los lagos alpinos, de carne sabrosa, que tiene la cabeza pequeña y aguda, la boca pequeña, la lengua corta, el lomo verdoso y el vientre plateado.
farra^2	Quizá del port. farra, y este quizá del ár. dialect. ferḥa 'fiesta'. 1. f. Juerga, jarana, parranda. 2. f. Guip. y Par. burla (‖ acción o palabras con que se pone en ridículo a alguien). 3. f. coloq. Ur. Hecho desagradable o ingrato. andar alguien en farra 1. loc. verb. Nic. Tomar bebidas alcohólicas con asiduidad. tomar a alguien para la farra 1. loc. verb. Arg., Par. y Ur. Burlarse de él, tomarle el pelo.
farraca	1. f. Sal. y Zam. faltriquera.
farragoso	sa 1. adj. Que tiene fárrago.
farraguista	De fárrago e -ista. 1. m. y f. Persona que tiene la cabeza llena de ideas confusas y mal ordenadas.
farrear	 1. intr. coloq. Arg., Bol., Chile, Ec., Par., Perú, Ur. y Ven. Andar de farra, divertirse.
farrista	1. adj. coloq. Arg., Bol., Ec., Par. y Ur. p. us. Aficionado a la farra (‖ juerga). U. t. c. s.
farruco	ca  Del ár. hisp. farrúǧ, y este del ár. clás. farrūǧ 'pollo, gallo joven'. 1. adj. coloq. Insolente, altanero. Ponerse farruco. 2. adj. p. us. Dicho de un emigrante: Gallego o asturiano. U. t. c. s. 3. f. Palo flamenco procedente del folclore del norte de España, que se interpreta con aire de soleá. 4. f. Baile que se ejecuta al compás de la farruca.
farsa	Del fr. farce. 1. f. Obra de teatro cómica, generalmente breve y de carácter satírico. 2. f. Acción realizada para fingir o aparentar. 3. f. En el teatro antiguo, compañía de farsantes. 4. f. En el teatro antiguo, comedia (‖ obra dramática). 5. f. despect. Obra dramática desarreglada, chabacana y grotesca.
farsante	ta Del it. farsante, der. de farsa 'farsa'. Como adj., u. solo la forma farsante; como sust., u. t. farsante para el f. en acep. 1. 1. adj. coloq. Que finge lo que no es o no siente. U. m. c. s. 2. m. y f. desus. Actor de teatro, especialmente de comedias.
farsantear	 1. intr. Bol., Chile y Nic. Hablar u obrar como farsante.
farsantería	De farsante y -ería^2. 1. f. Cualidad de la persona que pretende pasar por lo que no es.
farsar	De farsa. 1. intr. desus. Hacer o representar papel de cómico.
farsesco	ca 1. adj. Perteneciente o relativo a la farsa (‖ obra de teatro cómica). 2. adj. De características cómicas o grotescas propias de una farsa. Circunstancias farsescas.
farseto	Del it. farsetto. 1. m. Jubón acolchado o relleno de algodón, que usaba el que se había de armar, para poner sobre él la armadura.
farsi	Del ingl. Farsi, y este del persa fārsi. 1. adj. Perteneciente o relativo al farsi. Léxico farsi. 2. m. Lengua irania occidental, derivada del persa medio, que se habla principalmente en Irán y Afganistán.
farsista	1. m. y f. Autor de farsas. 2. m. y f. desus. Persona que tenía por oficio representar farsas o comedias.
farsálico	ca Del lat. Pharsalĭcus. 1. adj. Perteneciente o relativo a Farsalia, antigua ciudad de Grecia.
fartar	1. tr. desus. hartar. Era u. t. c. prnl.
farte	Del cat. fart 'harto'. 1. m. desus. Frito de masa rellena de una pasta dulce con azúcar, canela y otras especias.
faruscas	1. adj. C. Rica. chismoso (‖ que chismea). 2. adj. C. Rica. hipócrita (‖ que actúa con hipocresía). 3. adj. C. Rica. Embustero, mentiroso. 4. adj. C. Rica. Vanidoso, presumido, jactancioso.
farádico	ca 1. adj. Electr. Dicho de una corriente eléctrica: Producida por inducción.
farándula	Del occit. farandoulo. 1. f. Profesión de quienes se dedican al mundo del espectáculo, especialmente del teatro. Asistieron actores, directores y demás gentes de la farándula. 2. f. Conjunto de personas que integran la profesión teatral. 3. f. Ambiente nocturno formado por personas famosas de distintos ámbitos, especialmente del espectáculo. U. t. en sent. despect. 4. f. Compañía ambulante de teatro que, por lo general, interpretaba comedias.
faríngeo	a 1. adj. Anat. Perteneciente o relativo a la faringe. 2. adj. Fon. Dicho de un sonido: Que se articula aproximando el posdorso o la raíz de la lengua a la pared faríngea. U. t. c. s. f. amígdala faríngea
farón	De faro. 1. m. desus. Farol o fanal de buque.
fas	 por fas o por nefas Del lat. fas 'justo, lícito' y nefas 'injusto, ilícito'. 1. loc. adv. coloq. Justa o injustamente. 2. loc. adv. coloq. Por una cosa o por otra.
fascal	De or. inc. 1. m. Ar. Conjunto de 30 haces de trigo, que se amontona en el campo mientras se siega. 2. m. Rioja. Montón de cereal.
fasces	Del lat. fasces, pl. de fascis 'haz^1'. 1. m. pl. Insignia de los cónsules romanos, que se componía de una segur rodeada de un haz de varas. U. t. c. f.
fascia	Del lat. cient. fascia, en lat. 'banda que sujeta', 'faja', 'venda'. 1. f. Anat. Membrana fibrosa que recubre los músculos.
fasciculado	da 1. adj. Que tiene forma de fascículo. columna fasciculada
fascinación	Del lat. fascinatio, -ōnis. 1. f. Engaño o alucinación. 2. f. Atracción irresistible. 3. f. aojo.
fascinador	ra Del lat. fascinātor, -ōris. 1. adj. Que fascina.
fascinante	De fascinar y -nte. 1. adj. Sumamente atractivo.
fascinar	 Del lat. fascināre. 1. tr. Engañar, alucinar, ofuscar. 2. tr. Atraer irresistiblemente. 3. tr. Hacer mal de ojo.
fascismo	Del it. fascismo y este de fascio [littorio] 'fasces [del lictor]', símbolo del partido, e -ismo '-ismo'. 1. m. Movimiento político y social de carácter totalitario que se desarrolló en Italia en la primera mitad del siglo XX, y que se caracterizaba por el corporativismo y la exaltación nacionalista. 2. m. Doctrina del fascismo italiano y de los movimientos políticos similares surgidos en otros países. 3. m. Actitud autoritaria y antidemocrática que socialmente se considera relacionada con el fascismo.
fascista	Del it. fascista. 1. adj. Perteneciente o relativo al fascismo. 2. adj. Partidario del fascismo. Apl. a pers., u. t. c. s. 3. adj. Excesivamente autoritario.
fascistizante	1. adj. De tendencia fascista.
fascitis	1. f. Med. Inflamación de una fascia.
fascículo	Del lat. fascicŭlus 'hacecillo'. 1. m. entrega (‖ cuaderno). 2. m. Anat. Haz de fibras musculares.
fase	Del gr. φάσις phásis 'manifestación'. 1. f. Cada uno de los distintos estados sucesivos de un fenómeno natural o histórico, o de una doctrina, negocio, etc. 2. f. Astron. Cada una de las diversas apariencias o formas con que se dejan ver la Luna y algunos planetas, según los ilumina el Sol. 3. f. Electr. Valor de la fuerza electromotriz o intensidad de una corriente eléctrica alterna en un momento determinado. 4. f. Electr. Corriente alterna que forma parte de una corriente polifásica. 5. f. Fís. Característica de la variación de una magnitud periódica que determina la iniciación de cada período. 6. f. Fís. y Quím. Cada una de las partes homogéneas físicamente separables en un sistema formado por uno o varios componentes. diferencia de fase
faso	1. m. coloq. Arg. y Ur. cigarrillo.
fasquiar	Cruce del desus. fastiar 'hastiar' y asquear. 1. tr. desus. Causar asco o hastío.
fasquía	De fasquiar. 1. f. desus. Asco o hastío, especialmente el que se toma de algo por su mal olor.
fasta	 1. prep. desus. hasta.
fastial	Del lat. *fastigiāle, y este der. de fastigium 'tejado de dos vertientes', 'fastigio'. 1. m. Arq. desus. Piedra más alta de un edificio.
fastidiada	 De fastidiar. 1. f. Cuba. Molestia, daño o perjuicio que se recibe o se ocasiona a alguien.
fastidiado	da  Del part. de fastidiar. 1. adj. coloq. Enfermo o achacoso.
fastidiar	 De fastidio. Conjug. actual c. anunciar. 1. tr. Enfadar, disgustar o ser molesto a alguien. 2. tr. coloq. Ocasionar daño material o moral. 3. tr. desus. Causar asco o hastío. Era u. t. c. prnl. 4. prnl. Aguantarse, sufrir con paciencia algún contratiempo inevitable. Si te han suspendido, te fastidias y estudias más. hay que fastidiarse 1. loc. interj. coloq. U. para indicar que es preciso someterse de buena o mala gana a una molestia o inconveniente. 2. loc. interj. coloq. U. para acompañar, enfáticamente, un comentario que revela molestia o enojo. ¡Hay que fastidiarse, el frío que hace aquí! no te fastidia 1. loc. interj. coloq. U. para acompañar, enfáticamente, un comentario que revela molestia o enojo. Hazlo tú, que estás más descansado, ¡no te fastidia!
fastidieta	1. f. coloq. Cuba. fastidio (‖ enfado, cansancio).
fastidio	 Del lat. fastidium. 1. m. Enfado, cansancio, aburrimiento, tedio. 2. m. Disgusto o desazón que causa la comida mal recibida por el estómago, o el olor fuerte y desagradable de una cosa.
fastidiosamente	1. adv. Con fastidio.
fastidioso	sa Del lat. fastidiōsus. 1. adj. Enfadoso, importuno; que causa disgusto, desazón y hastío. 2. adj. Fastidiado, disgustado.
fastigio	Del lat. fastigium. 1. m. Parte más alta de algo que remata en punta, como una pirámide. 2. m. cumbre (‖ mayor elevación de algo). 3. m. Arq. Remate triangular de una fachada.
